Jmin,n,l,a,actfn
0.07884394377470016,4,1,15.707963267948966,tanh
0.0790838748216629,8,1,15.707963267948966,tanh
0.07913362979888915,16,1,15.707963267948966,tanh
0.0790720283985138,32,1,15.707963267948966,tanh
0.07925384491682051,64,1,15.707963267948966,tanh
0.07904472947120665,128,1,15.707963267948966,tanh
0.07907918840646742,256,1,15.707963267948966,tanh
0.07898028194904326,1,2,15.707963267948966,tanh
0.07873445749282837,2,2,15.707963267948966,tanh
0.07200925052165985,4,2,15.707963267948966,tanh
0.07815643399953842,8,2,15.707963267948966,tanh
0.022338412702083588,16,2,15.707963267948966,tanh
0.07879815250635147,32,2,15.707963267948966,tanh
0.07888273149728775,64,2,15.707963267948966,tanh
0.07864651083946227,128,2,15.707963267948966,tanh
0.07897948473691939,256,2,15.707963267948966,tanh
0.07894061505794525,1,4,15.707963267948966,tanh
0.021026771515607837,2,4,15.707963267948966,tanh
0.01658277027308941,4,4,15.707963267948966,tanh
0.008726644329726696,8,4,15.707963267948966,tanh
0.007959621027112007,16,4,15.707963267948966,tanh
7.66440134611912e-05,32,4,15.707963267948966,tanh
0.0001406375813530758,64,4,15.707963267948966,tanh
0.07899981737136842,128,4,15.707963267948966,tanh
0.07900338619947433,256,4,15.707963267948966,tanh
0.07319560647010803,1,8,15.707963267948966,tanh
0.023185817524790764,2,8,15.707963267948966,tanh
0.008836374618113041,4,8,15.707963267948966,tanh
0.00258909841068089,8,8,15.707963267948966,tanh
0.07902201265096664,16,8,15.707963267948966,tanh
0.07902295142412186,32,8,15.707963267948966,tanh
0.07904984056949614,64,8,15.707963267948966,tanh
0.07916966825723648,128,8,15.707963267948966,tanh
0.0791412740945816,256,8,15.707963267948966,tanh
0.07899761199951172,1,16,15.707963267948966,tanh
0.0789838507771492,2,16,15.707963267948966,tanh
0.0019241924164816735,4,16,15.707963267948966,tanh
0.001264353166334331,8,16,15.707963267948966,tanh
0.00013618505909107623,16,16,15.707963267948966,tanh
0.000989357475191355,32,16,15.707963267948966,tanh
0.07906810194253922,64,16,15.707963267948966,tanh
0.07935728132724763,128,16,15.707963267948966,tanh
0.07994388788938521,256,16,15.707963267948966,tanh
0.07895345240831374,1,32,15.707963267948966,tanh
0.0731247439980507,2,32,15.707963267948966,tanh
0.004731398075819016,4,32,15.707963267948966,tanh
0.000612146221101284,8,32,15.707963267948966,tanh
0.0007407378870993853,16,32,15.707963267948966,tanh
0.0018292150925844908,32,32,15.707963267948966,tanh
0.0785541832447052,64,32,15.707963267948966,tanh
0.07982625067234038,128,32,15.707963267948966,tanh
0.08466264605522156,256,32,15.707963267948966,tanh
0.07897099107503891,1,64,15.707963267948966,tanh
0.07558682560920715,2,64,15.707963267948966,tanh
0.0790056437253952,4,64,15.707963267948966,tanh
0.07897967100143433,8,64,15.707963267948966,tanh
0.0743681788444519,16,64,15.707963267948966,tanh
0.07899343967437744,32,64,15.707963267948966,tanh
0.07782438397407532,64,64,15.707963267948966,tanh
0.07926079630851746,128,64,15.707963267948966,tanh
0.0819004625082016,256,64,15.707963267948966,tanh
0.07900509983301161,1,1,15.707963267948966,sigmoid
0.07890699058771133,2,1,15.707963267948966,sigmoid
0.078993521630764,4,1,15.707963267948966,sigmoid
0.07897382974624634,8,1,15.707963267948966,sigmoid
0.07924898713827133,16,1,15.707963267948966,sigmoid
0.07911308854818344,32,1,15.707963267948966,sigmoid
0.07928755134344101,64,1,15.707963267948966,sigmoid
0.07961998879909515,128,1,15.707963267948966,sigmoid
0.08094782382249832,256,1,15.707963267948966,sigmoid
0.07897359877824782,1,2,15.707963267948966,sigmoid
0.07900486141443251,2,2,15.707963267948966,sigmoid
0.07899195700883865,4,2,15.707963267948966,sigmoid
0.07923488318920134,8,2,15.707963267948966,sigmoid
0.07946692407131195,16,2,15.707963267948966,sigmoid
0.07944206148386002,32,2,15.707963267948966,sigmoid
0.08075019717216492,64,2,15.707963267948966,sigmoid
0.08231493085622787,128,2,15.707963267948966,sigmoid
0.08206288516521452,256,2,15.707963267948966,sigmoid
